DEPARTAMENTO;MUNICIPIO;GENERO;EDAD;PLATAFORMA_EDUCATIVA
CASANARE;YOPAL;MASCULINO;21;COURSERA
BOGOTA;BOGOTA, D.C.;FEMENINO;39;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;FEMENINO;39;MICROSOFT AZURE
SANTANDER;GIRON;MASCULINO;24;DATACAMP
VALLE DEL CAUCA;FLORIDA;MASCULINO;36;DATACAMP
CUNDINAMARCA;FUNZA;MASCULINO;19;PLATZI
CUNDINAMARCA;FUNZA;MASCULINO;19;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;41;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;41;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;21;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;21;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;21;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;21;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;21;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;21;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;21;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;35;MICROSOFT AZURE
ANTIOQUIA;ENVIGADO;MASCULINO;46;DATACAMP
VALLE DEL CAUCA;CARTAGO;MASCULINO;27;DATACAMP
CUNDINAMARCA;ZIPAQUIRA;MASCULINO;23;COURSERA
CUNDINAMARCA;ZIPAQUIRA;MASCULINO;23;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;41;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;41;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;41;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;41;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;37;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;37;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;37;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;37;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;25;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;25;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;25;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;25;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;25;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;25;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;43;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;43;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;43;EDX
VALLE DEL CAUCA;CALI;MASCULINO;28;UDACITY
SANTANDER;BUCARAMANGA;FEMENINO;20;EDX
CAUCA;PUERTO TEJADA;MASCULINO;45;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;16;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;38;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;38;COURSERA
CALDAS;MANIZALES;MASCULINO;33;DATACAMP
CALDAS;MANIZALES;MASCULINO;33;DATACAMP
CORDOBA;MONTERIA;MASCULINO;27;PLATZI
TOLIMA;IBAGUE;MASCULINO;41;MICROSOFT AZURE
ATLANTICO;SOLEDAD;MASCULINO;34;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;32;EDX
BOGOTA;BOGOTA, D.C.;FEMENINO;32;EDX
ANTIOQUIA;MEDELLIN;FEMENINO;28;UDACITY
RISARALDA;PEREIRA;FEMENINO;34;EDX
VALLE DEL CAUCA;CALI;FEMENINO;30;COURSERA
TOLIMA;IBAGUE;MASCULINO;33;EDX
SANTANDER;SAN ANDRES;MASCULINO;23;COURSERA
NORTE DE SANTANDER;VILLA DEL ROSARIO;MASCULINO;23;PLATZI
NORTE DE SANTANDER;VILLA DEL ROSARIO;MASCULINO;23;PLATZI
ARAUCA;ARAUCA;MASCULINO;47;COURSERA
ANTIOQUIA;ARMENIA;MASCULINO;23;UDACITY
BOGOTA;BOGOTA, D.C.;FEMENINO;33;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;33;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;33;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;33;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;33;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;35;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;FEMENINO;35;MICROSOFT AZURE
VALLE DEL CAUCA;SEVILLA;MASCULINO;25;PLATZI
VALLE DEL CAUCA;CALI;FEMENINO;44;PLATZI
ANTIOQUIA;RIONEGRO;MASCULINO;39;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;31;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;FEMENINO;21;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;21;PLATZI
CAUCA;POPAYAN;FEMENINO;32;DATACAMP
ANTIOQUIA;SABANETA;FEMENINO;35;UDACITY
RISARALDA;PEREIRA;MASCULINO;32;DATACAMP
RISARALDA;PEREIRA;MASCULINO;32;DATACAMP
ANTIOQUIA;ITAGUI;MASCULINO;37;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;39;COURSERA
BOGOTA;BOGOTA, D.C.;FEMENINO;39;COURSERA
BOGOTA;BOGOTA, D.C.;FEMENINO;39;COURSERA
BOGOTA;BOGOTA, D.C.;FEMENINO;39;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;48;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;48;DATACAMP
VALLE DEL CAUCA;PALMIRA;MASCULINO;49;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;61;DATACAMP
CAUCA;POPAYAN;MASCULINO;29;PLATZI
CAUCA;POPAYAN;MASCULINO;29;PLATZI
BOLIVAR;CARTAGENA;FEMENINO;27;MICROSOFT AZURE
HUILA;NEIVA;MASCULINO;27;MICROSOFT AZURE
ANTIOQUIA;ARMENIA;MASCULINO;37;DATACAMP
CUNDINAMARCA;CHIA;MASCULINO;39;DATACAMP
CUNDINAMARCA;SOACHA;MASCULINO;34;MICROSOFT AZURE
RISARALDA;PEREIRA;MASCULINO;49;EDX
ANTIOQUIA;ITAGUI;MASCULINO;25;PLATZI
ANTIOQUIA;ITAGUI;MASCULINO;25;PLATZI
CUNDINAMARCA;COTA;MASCULINO;26;COURSERA
VALLE DEL CAUCA;CALI;FEMENINO;22;EDX
CUNDINAMARCA;GIRARDOT;MASCULINO;37;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;24;COURSERA
VALLE DEL CAUCA;ALCALA;MASCULINO;39;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;FEMENINO;25;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;25;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;25;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;25;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;25;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;25;PLATZI
CUNDINAMARCA;MADRID;FEMENINO;33;PLATZI
ANTIOQUIA;ENVIGADO;MASCULINO;38;UDACITY
VALLE DEL CAUCA;CALI;MASCULINO;25;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;25;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;25;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;25;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;34;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;34;COURSERA
VALLE DEL CAUCA;YUMBO;MASCULINO;39;MICROSOFT AZURE
SANTANDER;PIEDECUESTA;MASCULINO;27;UDACITY
SANTANDER;FLORIDABLANCA;FEMENINO;23;EDX
RISARALDA;DOSQUEBRADAS;FEMENINO;33;PLATZI
CUNDINAMARCA;FUNZA;MASCULINO;57;PLATZI
RISARALDA;PEREIRA;FEMENINO;26;COURSERA
RISARALDA;PEREIRA;FEMENINO;40;DATACAMP
ANTIOQUIA;ENVIGADO;MASCULINO;41;PLATZI
CUNDINAMARCA;SOACHA;MASCULINO;27;DATACAMP
CUNDINAMARCA;SOACHA;MASCULINO;27;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;22;MICROSOFT AZURE
VALLE DEL CAUCA;CALI;MASCULINO;39;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;22;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;22;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;22;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;22;UDACITY
ATLANTICO;BARRANQUILLA;MASCULINO;28;DATACAMP
VALLE DEL CAUCA;JAMUNDI;MASCULINO;30;PLATZI
QUINDIO;QUIMBAYA;MASCULINO;25;COURSERA
ANTIOQUIA;SABANETA;FEMENINO;27;UDACITY
ATLANTICO;BARRANQUILLA;MASCULINO;46;COURSERA
SANTANDER;FLORIDABLANCA;FEMENINO;19;DATACAMP
SUCRE;SINCELEJO;MASCULINO;33;MICROSOFT AZURE
HUILA;LA PLATA;MASCULINO;32;COURSERA
ANTIOQUIA;MEDELLIN;FEMENINO;23;MICROSOFT AZURE
ANTIOQUIA;DON MATIAS;MASCULINO;22;PLATZI
BOYACA;SOGAMOSO;MASCULINO;43;EDX
BOLIVAR;MORALES;MASCULINO;27;MICROSOFT AZURE
BOYACA;TUNJA;MASCULINO;37;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;21;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;21;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;21;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;21;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;21;UDACITY
ANTIOQUIA;URRAO;MASCULINO;34;PLATZI
SANTANDER;BUCARAMANGA;MASCULINO;26;PLATZI
CALDAS;MANIZALES;MASCULINO;35;PLATZI
CALDAS;MANIZALES;MASCULINO;35;PLATZI
SANTANDER;BUCARAMANGA;MASCULINO;21;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;30;EDX
ANTIOQUIA;MEDELLIN;MASCULINO;30;EDX
ANTIOQUIA;MEDELLIN;MASCULINO;30;EDX
CHOCO;QUIBDO;MASCULINO;34;PLATZI
ANTIOQUIA;ENVIGADO;MASCULINO;29;UDACITY
BOGOTA;BOGOTA, D.C.;FEMENINO;53;MICROSOFT AZURE
CUNDINAMARCA;GIRARDOT;MASCULINO;48;DATACAMP
NORTE DE SANTANDER;CUCUTA;MASCULINO;21;MICROSOFT AZURE
